Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD1,Harish,Oil & Masala,Masalas,Pune,11-08-2023,North,1254,0.12,401.28,Maharashtra
OD2,Sudha,Beverages,Health Drinks,Pimpri-Chinchwad,11-08-2023,South,749,0.18,149.8,Maharashtra
OD3,Hussain,Food Grains,Atta & Flour,Hadapsar,06-12-2023,West,2360,0.21,165.2,Maharashtra
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Kothrud,10-11-2022,South,896,0.25,89.6,Maharashtra
OD5,Ridhesh,Food Grains,Organic Staples,Sholapur,10-11-2022,South,2355,0.26,918.45,Maharashtra
OD6,Adavan,Food Grains,Organic Staples,Kothrud,06-09-2021,West,2305,0.26,322.7,Maharashtra
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Pune Cantonment,06-09-2021,West,826,0.33,346.92,Maharashtra
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Koregaon Park,06-09-2021,West,1847,0.32,147.76,Maharashtra
OD9,Hafiz,Bakery,Biscuits,Viman Nagar,06-09-2021,West,791,0.23,181.93,Maharashtra
OD10,Krithika,Bakery,Cakes,Wagholi,06-09-2021,West,1795,0.27,484.65,Maharashtra
OD11,Ganesh,Snacks,Chocolates,Bavdhan,06-09-2021,West,1903,0.13,437.69,Maharashtra
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Camp,06-09-2021,West,701,0.1,308.44,Maharashtra
OD13,Sharon,Snacks,Cookies,Aundh,4/15/2024,South,1659,0.19,315.21,Maharashtra
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Baner,12-05-2023,West,1277,0.25,63.85,Maharashtra
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Baner,11/22/2022,Central,831,0.22,207.75,Maharashtra
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Pimpri-Chinchwad,11/22/2022,Central,1440,0.11,100.8,Maharashtra
OD17,Alan,Bakery,Cakes,Kothrud,11-11-2021,Central,1678,0.28,318.82,Maharashtra
OD18,Arutra,Beverages,Health Drinks,Hinjawadi,5/13/2021,West,1617,0.19,113.19,Maharashtra
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Pune University,8/27/2021,West,1757,0.35,386.54,Maharashtra
OD20,Verma,Beverages,Soft Drinks,Baner,8/27/2021,West,692,0.29,159.16,Maharashtra
OD21,Hafiz,Beverages,Health Drinks,Pune,8/27/2021,West,522,0.19,208.8,Maharashtra
OD22,Alan,Food Grains,Dals & Pulses,Bavdhan,12-09-2023,Central,948,0.13,47.4,Maharashtra
OD23,Haseena,Beverages,Soft Drinks,Pimpri-Chinchwad,12-09-2023,Central,707,0.34,148.47,Maharashtra
